Sp,Diada,Media,Varianza
Cebus capucinus,f-f,0.5878914016726666,0.2989540574951314
Pan paniscus,f-f,0.6948644338157894,0.438624119246475
Pan paniscus,m-f,0.9433333333333334,0.08041558721209877
Calicebus torquatus,f-j,0.2672057383,0.22732331845307732
Calicebus torquatus,j-j,0.6875,NA
Calicebus torquatus,m-f,0.5971563981,NA
Calicebus torquatus,m-j,0.23455450285,0.12117998473471601
Macaca fuscata,f-f,0.4735075771967544,0.3454992531923106
