Sp,Media,Varianza
A. geoffroyi,0.22735690309777778,0.40201552348964104
Macaca arctoides,0.2581035327294643,0.38701483203728354
Mandrillus sphinx,0.31310658185,0.3048811721049292
Sapajus apella,0.23163642473437498,0.3160553189506433
Alouatta guariba,0.145342522975,0.19840406187134416
Pan paniscus,0.2854339882913333,0.3566435651646786
