Referencia,Especie,Diada,Individuos,duración 1,duración 2,Duración total,P1,P2,IR,,RI
"Schino et al,2006",Macaca fuscata,f-f,Miy-Oli,0,0,0,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,
"Schino et al,2006",Macaca fuscata,f-f,Miy-Raf,0,0,0,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,
"Schino et al,2006",Macaca fuscata,f-f,Miy-Sar,0,0,0,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,
"Schino et al,2006",Macaca fuscata,f-f,Miy-Zaz,0,0,0,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,
"Schino et al,2006",Macaca fuscata,f-f,Miy-Zin,0,0,0,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,
"Schino et al,2006",Macaca fuscata,f-f,Nob-Oli,0.62,0.35,0.97,0.6391752577,0.3608247423,0.7216494845,0.2783505155,
"Schino et al,2006",Macaca fuscata,f-f,Nob-Taf,5.19,3.33,8.52,0.6091549296,0.3908450704,0.7816901408,0.2183098592,
"Schino et al,2006",Macaca fuscata,f-f,Nob-Zar,3.24,3.58,6.82,0.4750733138,0.5249266862,0.9501466276,0.04985337243,
"Schino et al,2006",Macaca fuscata,f-f,Nob-Zaz,3.72,3.2,6.92,0.5375722543,0.4624277457,0.9248554913,0.07514450867,
"Schino et al,2006",Macaca fuscata,f-f,Nob-Zin,0.08,0.57,0.65,0.1230769231,0.8769230769,0.2461538462,0.7538461538,
"Schino et al,2006",Macaca fuscata,f-f,Sar-Zaz,1.18,0.92,2.1,0.5619047619,0.4380952381,0.8761904762,0.1238095238,
"Schino et al,2006",Macaca fuscata,f-f,Sar-ZIn,0.64,0,0.64,1,0,0,1,
"Schino et al,2006",Macaca fuscata,f-f,Zaz-Zin,4.52,4.66,9.18,0.4923747277,0.5076252723,0.9847494553,0.01525054466,
