Sp,Media,Varianza
Cebus capucinus,0.5878914016726666,0.2989540574951314
Pan paniscus,0.7544969697,0.39669957345073986
Calicebus torquatus,0.3813628134,0.23486862869005262
Macaca fuscata,0.4735075771967544,0.3454992531923106
